,15826,11608,10802,12981,7772,13254,13255,16106,16107,5457,4841,16891,10531,14017,4592,7782,3074,265,266,10787,5905,5759,6263,17399,17400,10262,7376,15017,16969,15045,15937,7963,250,1584,11847,7199,11593,4139,2777,17543,13998,1068,9885,1164,14669,6143,13873,9209,9210,3592,2140,15537,16920,16921,5300,17362,3228,3229,3230,6229,8812,4878,13538,17584,8123,11026,9200,9201,7081,11118,9889,6675,7980,14410,2858,8299,14961,8082,8716
level0Name,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
level1Gid,SWE.10_1,SWE.2_1,SWE.2_1,SWE.13_1,SWE.13_1,SWE.13_1,SWE.13_1,SWE.10_1,SWE.10_1,SWE.13_1,SWE.14_1,SWE.13_1,SWE.13_1,SWE.13_1,SWE.14_1,SWE.5_1,SWE.12_1,SWE.11_1,SWE.11_1,SWE.12_1,SWE.16_1,SWE.12_1,SWE.12_1,SWE.14_1,SWE.14_1,SWE.12_1,SWE.13_1,SWE.13_1,SWE.16_1,SWE.12_1,SWE.14_1,SWE.13_1,SWE.1_1,SWE.15_1,SWE.7_1,SWE.13_1,SWE.19_1,SWE.12_1,SWE.13_1,SWE.12_1,SWE.8_1,SWE.1_1,SWE.13_1,SWE.13_1,SWE.21_1,SWE.3_1,SWE.5_1,SWE.13_1,SWE.13_1,SWE.19_1,SWE.21_1,SWE.2_1,SWE.12_1,SWE.12_1,SWE.5_1,SWE.5_1,SWE.20_1,SWE.20_1,SWE.20_1,SWE.15_1,SWE.5_1,SWE.12_1,SWE.16_1,SWE.13_1,SWE.20_1,SWE.19_1,SWE.19_1,SWE.19_1,SWE.15_1,SWE.3_1,SWE.12_1,SWE.21_1,SWE.12_1,SWE.13_1,SWE.8_1,SWE.12_1,SWE.15_1,SWE.2_1,SWE.21_1
level1Name,Norrbotten,Dalarna,Dalarna,Skåne,Skåne,Skåne,Skåne,Norrbotten,Norrbotten,Skåne,Södermanland,Skåne,Skåne,Skåne,Södermanland,Halland,Östergötland,Orebro,Orebro,Östergötland,Uppsala,Östergötland,Östergötland,Södermanland,Södermanland,Östergötland,Skåne,Skåne,Uppsala,Östergötland,Södermanland,Skåne,Blekinge,Stockholm,Jönköping,Skåne,Västernorrland,Östergötland,Skåne,Östergötland,Kalmar,Blekinge,Skåne,Skåne,Västra Götaland,Gävleborg,Halland,Skåne,Skåne,Västernorrland,Västra Götaland,Dalarna,Östergötland,Östergötland,Halland,Halland,Västmanland,Västmanland,Västmanland,Stockholm,Halland,Östergötland,Uppsala,Skåne,Västmanland,Västernorrland,Västernorrland,Västernorrland,Stockholm,Gävleborg,Östergötland,Västra Götaland,Östergötland,Skåne,Kalmar,Östergötland,Stockholm,Dalarna,Västra Götaland
level2Gid,SWE.10.5_1,SWE.2.1_1,SWE.2.10_1,SWE.13.10_1,SWE.13.15_1,SWE.13.14_1,SWE.13.14_1,SWE.10.7_1,SWE.10.7_1,SWE.13.24_1,SWE.14.5_1,SWE.13.4_1,SWE.13.14_1,SWE.13.16_1,SWE.14.8_1,SWE.5.4_1,SWE.12.1_1,SWE.11.9_1,SWE.11.9_1,SWE.12.1_1,SWE.16.6_1,SWE.12.1_1,SWE.12.1_1,SWE.14.5_1,SWE.14.5_1,SWE.12.8_1,SWE.13.18_1,SWE.13.13_1,SWE.16.7_1,SWE.12.5_1,SWE.14.5_1,SWE.13.18_1,SWE.1.5_1,SWE.15.1_1,SWE.7.6_1,SWE.13.13_1,SWE.19.6_1,SWE.12.5_1,SWE.13.14_1,SWE.12.1_1,SWE.8.7_1,SWE.1.5_1,SWE.13.24_1,SWE.13.18_1,SWE.21.47_1,SWE.3.1_1,SWE.5.2_1,SWE.13.24_1,SWE.13.24_1,SWE.19.6_1,SWE.21.42_1,SWE.2.2_1,SWE.12.7_1,SWE.12.7_1,SWE.5.4_1,SWE.5.4_1,SWE.20.11_1,SWE.20.11_1,SWE.20.11_1,SWE.15.11_1,SWE.5.2_1,SWE.12.1_1,SWE.16.7_1,SWE.13.18_1,SWE.20.11_1,SWE.19.3_1,SWE.19.1_1,SWE.19.1_1,SWE.15.16_1,SWE.3.2_1,SWE.12.7_1,SWE.21.48_1,SWE.12.4_1,SWE.13.16_1,SWE.8.7_1,SWE.12.7_1,SWE.15.10_1,SWE.2.1_1,SWE.21.24_1
level2Name,Gällivare,Älvdalen,Mora,Höganäs,Kristianstad,Klippan,Klippan,Jokkmokk,Jokkmokk,Simrishamn,Nyköping,Bjuv,Klippan,Landskrona,Trosa,Kungsbacka,Åtvidaberg,Lindesberg,Lindesberg,Åtvidaberg,Tierp,Åtvidaberg,Åtvidaberg,Nyköping,Nyköping,Norrköping,Lund,Kävlinge,Uppsala,Linköping,Nyköping,Lund,Sölvesborg,Botkyrka,Nässjö,Kävlinge,Sundsvall,Linköping,Klippan,Åtvidaberg,Mörbylånga,Sölvesborg,Simrishamn,Lund,Uddevalla,Bollnäs,Halmstad,Simrishamn,Simrishamn,Sundsvall,Tidaholm,Avesta,Motala,Motala,Kungsbacka,Kungsbacka,Västerås,Västerås,Västerås,Nynäshamn,Halmstad,Åtvidaberg,Uppsala,Lund,Västerås,Kramfors,Ånge,Ånge,Sollentuna,Gävle,Motala,Ulricehamn,Kinda,Landskrona,Mörbylånga,Motala,Nykvarn,Älvdalen,Lysekil
level3Gid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level3Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iucnRedListCategory,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
accessRights_y,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage,Free usage
bibliographicCitation_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modified_y,2009-03-24T22:59:00,2009-02-11T21:03:00,2021-06-29T13:00:22,2024-05-22T14:36:02,2009-02-12T11:56:00,2009-02-27T12:55:00,2009-02-27T12:55:00,2010-03-09T23:04:00,2010-03-09T23:04:00,2009-02-20T11:40:00,2009-03-03T23:11:00,2009-02-11T21:40:00,2009-02-27T12:45:00,2007-09-09T14:10:00,2009-02-22T18:02:00,2007-09-10T08:18:00,2008-06-11T08:51:00,2009-02-12T11:58:00,2009-02-12T11:58:00,2008-06-10T18:50:00,2007-08-20T11:07:00,2008-06-10T18:48:00,2024-05-22T11:34:49,2008-06-23T19:00:00,2008-06-23T19:00:00,2009-02-22T18:04:00,2007-06-17T08:35:00,2009-02-27T12:31:00,2014-06-30T02:00:47,2007-06-06T23:07:00,2008-06-02T20:30:00,2007-08-01T20:41:00,2007-08-23T21:44:00,2009-02-15T16:24:00,2009-03-03T20:21:00,2007-06-10T20:28:00,2007-08-27T08:59:00,2008-06-11T08:50:00,2009-02-27T10:57:00,2008-06-10T18:47:00,2014-06-11T16:11:46,2007-08-11T22:23:00,2007-07-14T22:11:00,2009-02-23T15:51:00,2007-11-15T09:56:00,2014-05-24T11:50:59,2016-04-11T14:59:16,2007-08-15T05:34:00,2007-08-15T05:34:00,2009-07-12T15:29:00,2009-02-19T08:50:00,2008-02-29T20:42:00,2014-06-25T20:46:08,2014-06-25T20:46:08,2023-03-28T08:17:37,2008-06-18T14:35:00,2009-02-15T16:24:00,2009-02-15T16:24:00,2009-02-15T16:24:00,2009-03-03T19:55:00,2009-02-22T14:44:00,2008-06-11T08:51:00,2007-08-01T15:38:00,2007-06-17T08:37:00,2007-09-12T15:50:00,2014-06-29T16:36:50,2006-11-08T13:31:00,2006-11-08T13:31:00,2009-02-15T16:20:00,2009-02-15T15:27:00,2008-07-03T17:46:00,2008-07-07T21:23:00,2008-07-12T19:33:00,2008-07-10T16:37:00,2008-07-27T19:34:00,2009-02-12T11:43:00,2008-07-06T09:57:00,2008-07-17T11:51:00,2008-07-16T21:34:00
publisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightsHolder,Stefan Lithner,Sven-Åke Kraft,Sven-Åke Kraft,Lars Bergendorf,Stefan Lithner,Lars Bergendorf,Lars Bergendorf,Tommy Karlsson,Tommy Karlsson,Stefan Lithner,Anneli Kihl,Lars Bergendorf,Jan Nilsson,Jan Nilsson,Sven-Åke Kraft,Erik Hansson,Jonas Lindebring,Lars Bergendorf,Lars Bergendorf,Jonas Lindebring,Peter Schmidt,Jonas Lindebring,Tommy Karlsson,Anneli Kihl,Anneli Kihl,Jonas Roth,Göran Ogén,Jan Nilsson,Tobias Hammarberg,Tommy Karlsson,Anneli Kihl,Peter Schmidt,Christer Bergendorff,Anders Forsberg,Gunnel Sundberg,Jan Nilsson,Åke Hedman,Jonas Lindebring,Jan Nilsson,Jonas Lindebring,Ivan Kruys,Christer Bergendorff,Peter Schmidt,Magnus Billqvist,Sven-Åke Kraft,Hans Höglund,Per Wahlén,Göran Ogén,Göran Ogén,Åke Hedman,Anneli Kihl,Mats Forslund,Tommy Karlsson,Tommy Karlsson,Erik Hansson,Erik Hansson,Niclas Lignell,Niclas Lignell,Niclas Lignell,Tommy Ericson,Benny Ahlnér,Jonas Lindebring,Peter Schmidt,Göran Ogén,Niclas Lignell,Kurt Holmqvist,Åke Hedman,Åke Hedman,Matthis Persson,Mats Westberg,Anders Sandh,Jan Andersson,Sten Fällström,Jan Nilsson,Sven-Olof Johannesson,Anders Sandh,Sven-Åke Kraft,Sven-Åke Kraft,Sven-Åke Kraft
type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
institutionID_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collectionID_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasetID_y,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen
institutionCode_y,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken
collectionCode_y,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen
datasetName_y,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen
ownerInstitutionCode_y,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken
basisOfRecord_y,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation,HumanObservation
informationWithheld_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataGeneralizations_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamicProperties_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occurrenceID_y,urn:lsid:artportalen.se:sighting:13651857,urn:lsid:artportalen.se:sighting:13612013,urn:lsid:artportalen.se:sighting:13634354,urn:lsid:artportalen.se:sighting:13580451,urn:lsid:artportalen.se:sighting:13651733,urn:lsid:artportalen.se:sighting:13602005,urn:lsid:artportalen.se:sighting:13602005,urn:lsid:artportalen.se:sighting:13605624,urn:lsid:artportalen.se:sighting:13605624,urn:lsid:artportalen.se:sighting:13651721,urn:lsid:artportalen.se:sighting:13578302,urn:lsid:artportalen.se:sighting:13576413,urn:lsid:artportalen.se:sighting:13522242,urn:lsid:artportalen.se:sighting:13341907,urn:lsid:artportalen.se:sighting:13515123,urn:lsid:artportalen.se:sighting:13342292,urn:lsid:artportalen.se:sighting:13523452,urn:lsid:artportalen.se:sighting:13534696,urn:lsid:artportalen.se:sighting:13534696,urn:lsid:artportalen.se:sighting:13523109,urn:lsid:artportalen.se:sighting:13328517,urn:lsid:artportalen.se:sighting:13523108,urn:lsid:artportalen.se:sighting:13517362,urn:lsid:artportalen.se:sighting:13535170,urn:lsid:artportalen.se:sighting:13535170,urn:lsid:artportalen.se:sighting:13534287,urn:lsid:artportalen.se:sighting:13259261,urn:lsid:artportalen.se:sighting:13254307,urn:lsid:artportalen.se:sighting:16038136,urn:lsid:artportalen.se:sighting:13251053,urn:lsid:artportalen.se:sighting:13515292,urn:lsid:artportalen.se:sighting:13308258,urn:lsid:artportalen.se:sighting:13331286,urn:lsid:artportalen.se:sighting:13321599,urn:lsid:artportalen.se:sighting:13528095,urn:lsid:artportalen.se:sighting:13254308,urn:lsid:artportalen.se:sighting:13334079,urn:lsid:artportalen.se:sighting:13523451,urn:lsid:artportalen.se:sighting:13522239,urn:lsid:artportalen.se:sighting:13523103,urn:lsid:artportalen.se:sighting:15965977,urn:lsid:artportalen.se:sighting:13321721,urn:lsid:artportalen.se:sighting:13282350,urn:lsid:artportalen.se:sighting:13514611,urn:lsid:artportalen.se:sighting:13367061,urn:lsid:artportalen.se:sighting:15892549,urn:lsid:artportalen.se:sighting:15903333,urn:lsid:artportalen.se:sighting:13324478,urn:lsid:artportalen.se:sighting:13324478,urn:lsid:artportalen.se:sighting:13204021,urn:lsid:artportalen.se:sighting:13543004,urn:lsid:artportalen.se:sighting:13451537,urn:lsid:artportalen.se:sighting:16025930,urn:lsid:artportalen.se:sighting:16025930,urn:lsid:artportalen.se:sighting:13333701,urn:lsid:artportalen.se:sighting:13530551,urn:lsid:artportalen.se:sighting:13343130,urn:lsid:artportalen.se:sighting:13343130,urn:lsid:artportalen.se:sighting:13343130,urn:lsid:artportalen.se:sighting:13525925,urn:lsid:artportalen.se:sighting:13251467,urn:lsid:artportalen.se:sighting:13523453,urn:lsid:artportalen.se:sighting:13307909,urn:lsid:artportalen.se:sighting:13259262,urn:lsid:artportalen.se:sighting:13343320,urn:lsid:artportalen.se:sighting:16036914,urn:lsid:artportalen.se:sighting:13183131,urn:lsid:artportalen.se:sighting:13183131,urn:lsid:artportalen.se:sighting:13509906,urn:lsid:artportalen.se:sighting:13545842,urn:lsid:artportalen.se:sighting:13546110,urn:lsid:artportalen.se:sighting:13553898,urn:lsid:artportalen.se:sighting:13557929,urn:lsid:artportalen.se:sighting:13555938,urn:lsid:artportalen.se:sighting:13575199,urn:lsid:artportalen.se:sighting:13573373,urn:lsid:artportalen.se:sighting:13549617,urn:lsid:artportalen.se:sighting:13562860,urn:lsid:artportalen.se:sighting:13562541
